room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
288161,1205120,Private room,,4,36,5,2,1,95,1,21.289262,-157.710171,45:30.5
7787243,40892664,Entire home/apt,,4,3,4.5,4,2,450,1,21.284805,-157.839292,45:28.3
7901306,3834620,Private room,,2,28,5,5,1,85,1,21.593278,-158.098363,45:22.2
6625757,34144484,Entire home/apt,,4,4,4.5,2,0,125,4,21.276681,-157.824358,45:07.9
966304,5270727,Entire home/apt,,4,23,5,2,1,185,28,21.287438,-157.835228,45:05.2
4076897,12370863,Entire home/apt,,4,27,4,4,0,129,3,21.284358,-157.835434,44:50.3
11166742,58092262,Entire home/apt,,4,1,5,5,2,200,5,21.286185,-157.83554,44:42.4
606643,3005385,Entire home/apt,,2,3,4.5,2,1,125,3,21.593757,-158.102927,44:39.8
6170987,32017606,Entire home/apt,,1,0,,,2,400,7,21.336202,-158.122464,44:36.0
221721,1101853,Entire home/apt,,2,8,5,,4,1690,2,21.628253,-157.922551,44:26.4
5031193,25568974,Entire home/apt,,5,28,4.5,3,0,135,1,21.305458,-157.84858,44:15.6
9737230,49108425,Entire home/apt,,2,13,5,2,1,129,2,21.582093,-158.138706,44:13.1
5511136,4719183,Shared room,,4,9,4.5,1,1,28,1,21.283926,-157.828719,44:07.8
1768152,1671879,Entire home/apt,,4,43,4.5,4,0,115,3,21.280559,-157.826356,44:01.8
631771,1298922,Entire home/apt,,3,14,4.5,,4,400,7,21.399308,-157.745381,43:39.2
1804354,3644514,Private room,,6,5,5,3,1,68,14,21.326753,-157.846519,43:35.9
5830051,8885340,Private room,,4,27,4.5,3,1,80,2,21.270352,-157.795806,43:28.3
7988787,2854578,Entire home/apt,,4,3,5,2,0,145,1,21.279067,-157.828049,43:23.7
2824380,10496350,Entire home/apt,,3,0,,,4,1545,14,21.417104,-157.746126,43:12.1
5681751,5454711,Private room,,3,8,5,2,1,80,1,21.358705,-157.765668,43:09.9
9077172,1191923,Entire home/apt,,2,2,5,,3,395,4,21.578834,-158.159481,43:01.5
2432430,12433522,Entire home/apt,,4,26,5,3,0,159,3,21.284724,-157.83131,42:56.6
4855269,24975305,Entire home/apt,,4,29,5,2,0,240,3,21.282728,-157.757722,42:46.8
